feature_edges,boundary_edges,dihedral_edges,non_manifold_edges,loops,circular_loops
639,0,639,0,220,0

loop_id,vertices,edges,closed,circular,mostly_boundary,cx,cy,cz,nx,ny,nz,radius,rms_radial,max_radial,rms_plane,max_plane
0,9,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,12,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,35,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
17,17,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,19,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
31,15,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
38,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
39,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
41,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
42,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
44,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
46,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
48,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
50,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
52,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
53,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
56,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
57,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
58,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
59,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
62,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
63,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
67,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
68,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
69,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
70,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
72,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
73,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
75,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
76,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
77,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
